# s_um   R_B_m2K_per_GW
1.500000000000000000e+00 nan
3.000000000000000000e+00 nan
4.500000000000000000e+00 nan
6.000000000000000000e+00 nan
7.500000000000000000e+00 nan
9.000000000000000000e+00 nan
1.050000000000000000e+01 nan
1.200000000000000000e+01 -2.153297285278610307e+00
1.350000000000000000e+01 nan
1.500000000000000000e+01 nan
1.650000000000000000e+01 1.558590132972087761e-01
1.800000000000000000e+01 6.972398716345478142e-01
1.950000000000000000e+01 2.754261901259116296e-01
2.100000000000000000e+01 -4.729046200520137799e-01
2.250000000000000000e+01 1.062601052868951124e+00
2.400000000000000000e+01 1.786378424047928015e-01
2.550000000000000000e+01 6.125352678646257543e-01
2.700000000000000000e+01 1.026434311403538358e+00
2.850000000000000000e+01 1.524388263311475589e+00
3.000000000000000000e+01 2.015664029136041258e+00
3.150000000000000000e+01 9.904306049863613737e-01
3.300000000000000000e+01 -2.249697876040457900e-01
3.450000000000000000e+01 1.182958921163216548e+00
3.600000000000000000e+01 3.841860752248051902e-01
3.750000000000000000e+01 4.649733503309367855e-01
3.900000000000000000e+01 2.032440821541865450e-01
4.050000000000000000e+01 5.775054260222579616e-01
4.200000000000000000e+01 9.095268053950342213e-02
4.350000000000000000e+01 8.162120881310279685e-01
4.500000000000000000e+01 1.996345653473835524e-01
4.650000000000000000e+01 9.448235592817318118e-02
4.800000000000000000e+01 4.070441564440799298e-01
4.950000000000000000e+01 6.754616315439145868e-01
5.100000000000000000e+01 -2.340035590908514651e-01
5.250000000000000000e+01 -1.086721567948274875e-01
5.400000000000000000e+01 6.171209615797463854e-01
5.550000000000000000e+01 3.329876381621618142e-01
5.700000000000000000e+01 2.396614239904356902e-01
5.850000000000000000e+01 6.396158601389860809e-01
6.000000000000000000e+01 4.021560683138689085e-01
6.150000000000000000e+01 nan
6.300000000000000000e+01 -6.312666864182197024e-01
6.450000000000000000e+01 3.791780093476077584e-01
6.600000000000000000e+01 nan
6.750000000000000000e+01 nan
6.900000000000000000e+01 4.604516715817454919e-01
7.050000000000000000e+01 nan
7.200000000000000000e+01 nan
7.350000000000000000e+01 nan
7.500000000000000000e+01 nan
7.650000000000000000e+01 nan
7.800000000000000000e+01 nan
7.950000000000000000e+01 nan
8.100000000000000000e+01 nan
8.250000000000000000e+01 nan
8.400000000000000000e+01 nan
8.550000000000000000e+01 nan
8.700000000000000000e+01 nan
8.850000000000000000e+01 nan
9.000000000000000000e+01 nan
9.150000000000000000e+01 nan
9.300000000000000000e+01 nan
9.450000000000000000e+01 nan
9.600000000000000000e+01 nan
9.750000000000000000e+01 nan
9.900000000000000000e+01 nan
1.005000000000000000e+02 nan
1.020000000000000000e+02 3.805465304729281906e-01
1.035000000000000000e+02 4.062396177395408703e-01
1.050000000000000000e+02 -3.930456841254592604e-02
1.065000000000000000e+02 2.318770352919181654e-01
1.080000000000000000e+02 7.595266437432859341e-01
1.095000000000000000e+02 5.604168719896396311e-01
1.110000000000000000e+02 6.482879580110022522e-01
1.125000000000000000e+02 -1.090701115752674144e-01
1.140000000000000000e+02 4.050451850154845879e-03
1.155000000000000000e+02 1.777910198993193636e-01
1.170000000000000000e+02 3.832451271517801628e-01
1.185000000000000000e+02 2.872155390100077366e-01
1.200000000000000000e+02 6.883515366864956242e-02
1.215000000000000000e+02 5.751663386609763284e-01
1.230000000000000000e+02 nan
1.245000000000000000e+02 nan
1.260000000000000000e+02 4.758606417315888737e-02
1.275000000000000000e+02 nan
1.290000000000000000e+02 nan
1.305000000000000000e+02 nan
1.320000000000000000e+02 nan
1.335000000000000000e+02 nan
1.350000000000000000e+02 nan
1.365000000000000000e+02 nan
1.380000000000000000e+02 nan
1.395000000000000000e+02 nan
