structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-735773.778322944,1.5457474006086034e-10,11.280789112967451,9314371680.066023,1.4397665812764444,162240,False
0,1,-735773.778322944,6.676044965584998e-10,14.141786780765447,9341203990.85582,6.236229787565549,162240,False
0,2,-735773.778322944,9.775118959422094e-11,10.79614998476477,9236773090.408272,0.902905557599297,162240,False
0,3,-735773.778322944,2.1298001452177446e-10,12.394341603491249,9323241893.245663,1.9856641938134771,162240,False
0,4,-735773.778322944,1.843718530936299e-10,11.657906583077029,9255977546.269941,1.7065417323988186,162240,False
0,5,-735773.778322944,6.027252972543616e-11,12.094819005767354,9133501175.332502,0.5504992210875344,162240,False
0,6,-735773.778322944,2.711170680270123e-10,11.099564619769572,9330101458.214483,2.5295497517456624,162240,False
0,7,-735773.778322944,2.528611396458158e-10,11.198527180963445,9305018477.985678,2.352877576768833,162240,False
0,8,-735773.778322944,6.878889316466607e-10,13.698418700102012,9142196642.824879,6.288815881536493,162240,False
0,9,-735773.778322944,3.1217543605994813e-10,11.06080457965789,9290235656.371326,2.900183367127397,162240,False
