structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-744198.5715524172,6.751449268302727e-10,18.487447228632977,4191766668.220001,2.8300500005049685,162240,False
0,1,-744198.5715524172,6.754750682038619e-11,14.354505428788261,4109916456.9805026,0.2776146099091079,162240,False
0,2,-744198.5715524172,3.801866955065148e-10,17.65895402948572,4168433194.2805834,1.584782841573201,162240,False
0,3,-744198.5715524172,3.934168870290422e-10,14.708741997601793,4208889742.1153975,1.6558483001915079,162240,False
0,4,-744198.5715524172,9.43809473532003e-10,17.700650853149522,4145788661.270508,3.9128346137686663,162240,False
0,5,-744198.5715524172,5.949092944976459e-10,16.249017385158115,4210945569.92812,2.5051306581739254,162240,False
0,6,-744198.5715524172,3.0970691745284567e-10,14.48190916073969,4171277480.999725,1.2918734904808957,162240,False
0,7,-744198.5715524172,3.3470677008323816e-10,15.332535170547335,4243077271.5997467,1.42018668879075,162240,False
0,8,-744198.5715524172,1.5217504825417169e-10,14.292348718516157,4237162162.1123705,0.6447903564802004,162240,False
0,9,-744198.5715524172,1.5519847937268366e-10,15.723449155521614,4165943018.370935,0.646548021604417,162240,False
