structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-197915.90585944004,9.076858617375043e-10,6.466636545683522,7068416139.633886,6.415901394822868,43680,False
0,1,-197915.90585944004,9.105509137582296e-10,4.931990133224039,6878275589.063816,6.263020122702983,43680,False
0,2,-197915.90585944004,9.388902037207857e-11,3.885573005478691,7035053356.779268,0.6605142679333085,43680,False
0,3,-197915.90585944004,5.316375569384381e-10,4.368854764439618,7071307726.843029,3.7593727642587282,43680,False
0,4,-197915.90585944004,3.570437066770953e-10,3.4849102377686636,6935647825.253432,2.4763294077354203,43680,False
0,5,-197915.90585944004,4.6246736354231234e-10,5.223178312314662,6969743886.4389715,3.2232790797265807,43680,False
0,6,-197915.90585944004,7.857208811166915e-10,4.286336863213033,6912366155.517637,5.431190426314515,43680,False
0,7,-197915.90585944004,5.4598045277809236e-11,3.3918497948869235,7030200042.348429,0.38383518022419594,43680,False
0,8,-197915.90585944004,1.1344578297433414e-09,6.64005667736051,6996041953.3848715,7.936714571230368,43680,False
0,9,-197915.90585944004,2.29699882086259e-10,4.327713501811388,7106189670.731901,1.6322909294497094,43680,False
