structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-1443346.250061208,6.7051772820723894e-09,5.476318372422579,10580022456.510332,70.94092621920879,318240,False
0,1,-1443346.250061208,6.194913832110415e-09,5.384350939347705,10779330085.476643,66.7770210474032,318240,False
0,2,-1443346.250061208,6.5131303465842606e-09,5.359442289898487,10496190789.072172,68.36305875184416,318240,False
0,3,-1443346.250061208,6.392021734218687e-09,5.277614142681977,10446011513.091251,66.77113262757791,318240,False
0,4,-1443346.250061208,6.999464521720549e-09,5.454592605459021,10700720135.770634,74.89931094718725,318240,False
0,5,-1443346.250061208,7.01844224864689e-09,5.6222208027246,10444786506.183659,73.30613089309634,318240,False
0,6,-1443346.250061208,6.694166400218877e-09,5.52654398831037,10566219015.890348,70.73202831352694,318240,False
0,7,-1443346.250061208,6.504354248614195e-09,5.219735340687159,10532523153.612825,68.50726172282896,318240,False
0,8,-1443346.250061208,6.45970975319403e-09,5.33803013895173,10604441095.677336,68.50161157291848,318240,False
0,9,-1443346.250061208,6.490920523756802e-09,5.553517030639175,10691218821.464231,69.39585167221719,318240,False
