structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-735798.6530273904,4.1390778949898596e-10,14.441721882126066,9261256860.153608,3.8333063549684994,162240,False
0,1,-735798.6530273904,2.31581224625417e-10,9.508993042614446,9173752624.721058,2.124468867243536,162240,False
0,2,-735798.6530273904,1.418445235245028e-10,10.208158398623246,9181600172.947983,1.3023597017242992,162240,False
0,3,-735798.6530273904,2.2773604638802522e-10,12.08019011445066,9165703944.274206,2.087361178632136,162240,False
0,4,-735798.6530273904,1.8135146001144455e-10,9.687342714280968,9245078571.310757,1.6766084968277255,162240,False
0,5,-735798.6530273904,8.429438833050224e-10,15.11954637491658,9311982942.287004,7.849479062641535,162240,False
0,6,-735798.6530273904,2.2596039979827763e-11,12.04767752740785,9299774671.965887,0.2101380802911308,162240,False
0,7,-735798.6530273904,1.0528766395298741e-10,10.127956312584267,9231790384.641964,0.9719936437026035,162240,False
0,8,-735798.6530273904,3.456850515676935e-10,11.932135262557157,9199930968.551413,3.1802786112829153,162240,False
0,9,-735798.6530273904,3.261875835978527e-10,13.236194055480775,9348229110.412066,3.0492762644444156,162240,False
