structure_index,run_index,energy_ev,R_K_SI,kappa_SI,J_SI,delta_T,n_atoms,converged
0,0,-367870.98799327406,4.939727295594383e-10,7.72899334789993,8366417379.128668,4.13278202940171,81120,False
0,1,-367870.98799327406,5.086536524349963e-10,6.0242926977854605,8229464448.46966,4.185947149298045,81120,False
0,2,-367870.98799327406,1.2635570288156968e-10,5.206085780608959,8176311362.948418,1.0331235692439122,81120,False
0,3,-367870.98799327406,5.61339761916806e-10,6.6479031304297,8304482247.473412,4.661636087639067,81120,False
0,4,-367870.98799327406,1.1110736496028139e-10,6.473226574843333,8326056226.726039,0.9250861678626734,81120,False
0,5,-367870.98799327406,1.545865721797629e-11,6.220567240077791,8375250503.151348,0.12947012664290014,81120,False
0,6,-367870.98799327406,1.2353780641961563e-10,7.722683567747623,8596388821.005035,1.0619790180770678,81120,False
0,7,-367870.98799327406,8.062214927263861e-10,10.176552113166624,8244670705.099959,6.647030722903196,81120,False
0,8,-367870.98799327406,3.091956476815992e-11,7.6030013199761495,8243865378.197975,0.25489672950118347,81120,False
0,9,-367870.98799327406,1.532760786029077e-10,7.713615249837569,8123261225.738183,1.2451016261481982,81120,False
