# s_um   R_B_m2K_per_GW
2.000000000000000000e+00 nan
4.000000000000000000e+00 nan
6.000000000000000000e+00 nan
8.000000000000000000e+00 nan
1.000000000000000000e+01 nan
1.200000000000000000e+01 nan
1.400000000000000000e+01 nan
1.600000000000000000e+01 nan
1.800000000000000000e+01 nan
2.000000000000000000e+01 nan
2.200000000000000000e+01 nan
2.400000000000000000e+01 nan
2.600000000000000000e+01 nan
2.800000000000000000e+01 nan
3.000000000000000000e+01 nan
3.200000000000000000e+01 nan
3.400000000000000000e+01 nan
3.600000000000000000e+01 nan
3.800000000000000000e+01 nan
4.000000000000000000e+01 1.620631343738733743e-01
4.200000000000000000e+01 nan
4.400000000000000000e+01 nan
4.600000000000000000e+01 1.407983141940110650e-01
4.800000000000000000e+01 2.292350004033898991e-01
5.000000000000000000e+01 nan
5.200000000000000000e+01 nan
5.400000000000000000e+01 2.515786640565810250e-01
5.600000000000000000e+01 nan
5.800000000000000000e+01 nan
6.000000000000000000e+01 -3.933786228104346749e-01
6.200000000000000000e+01 3.459217057803344875e-01
6.400000000000000000e+01 -1.421224415394470308e-01
6.600000000000000000e+01 -8.340477926008260656e-02
6.800000000000000000e+01 7.192224983599728727e-01
7.000000000000000000e+01 -3.859779896897849727e-02
7.200000000000000000e+01 -1.796629032922223146e-01
7.400000000000000000e+01 8.414457196651110582e-01
7.600000000000000000e+01 4.880166974348891795e-01
7.800000000000000000e+01 4.681779905247274165e-01
8.000000000000000000e+01 4.141154895528393887e-01
8.200000000000000000e+01 5.227673106022264760e-01
8.400000000000000000e+01 5.259560366045008539e-01
8.600000000000000000e+01 1.223937533568178804e+00
8.800000000000000000e+01 1.148084903623607156e+00
9.000000000000000000e+01 8.507140973106221971e-01
9.200000000000000000e+01 1.198519425032397168e+00
9.400000000000000000e+01 7.424661938220469271e-01
9.600000000000000000e+01 1.367778171696243827e+00
9.800000000000000000e+01 2.027334299364552450e+00
1.000000000000000000e+02 1.628019251148080659e+00
1.020000000000000000e+02 nan
1.040000000000000000e+02 nan
1.060000000000000000e+02 nan
1.080000000000000000e+02 nan
1.100000000000000000e+02 nan
1.120000000000000000e+02 nan
1.140000000000000000e+02 nan
1.160000000000000000e+02 nan
1.180000000000000000e+02 nan
